CustomerID,SimilarCustomerID,Score
C0001,C0181,0.8920363751106841
C0001,C0190,0.8276498370737361
C0001,C0192,0.8200032699270444
C0002,C0088,0.9504410543978522
C0002,C0077,0.9078278250091057
C0002,C0144,0.8869832174466894
C0003,C0031,0.8724452437176553
C0003,C0025,0.8679284570933714
C0003,C0052,0.8549261865587442
C0004,C0165,0.9837613557966851
C0004,C0113,0.9152988874245827
C0004,C0175,0.9095402248959764
C0005,C0140,0.98576829255714
C0005,C0186,0.9803455641011979
C0005,C0130,0.9229504651234332
C0006,C0168,0.9339317598435195
C0006,C0187,0.9020860226153505
C0006,C0011,0.8521236791098727
C0007,C0146,0.9752929999847715
C0007,C0115,0.9675811469547315
C0007,C0186,0.9462278440753381
C0008,C0090,0.8654254598861834
C0008,C0109,0.8563164397370215
C0008,C0065,0.8545849079715967
C0009,C0061,0.9682143716914858
C0009,C0198,0.9440497129803507
C0009,C0167,0.8704612867291474
C0010,C0111,0.943563045464979
C0010,C0121,0.8873332177305161
C0010,C0062,0.8736064543728804
C0011,C0137,0.9306618676135809
C0011,C0191,0.8756700599231548
C0011,C0126,0.8685806267506692
C0012,C0163,0.9581695936942949
C0012,C0113,0.934168688273536
C0012,C0104,0.9341104556651426
C0013,C0099,0.9824394302283673
C0013,C0108,0.8914111665533776
C0013,C0155,0.8861041643967221
C0014,C0097,0.9616529032747825
C0014,C0063,0.9516088236219898
C0014,C0060,0.9489355399897278
C0015,C0131,0.979200704856027
C0015,C0058,0.9613514942808319
C0015,C0020,0.9102914145408806
C0016,C0042,0.8794249153853887
C0016,C0040,0.8264295381028728
C0016,C0183,0.8130151154802753
C0017,C0075,0.9748038222211621
C0017,C0041,0.9186654086457808
C0017,C0090,0.8835059095603123
C0018,C0046,0.8397802619576842
C0018,C0122,0.7907491865522672
C0018,C0068,0.7682934444875869
C0019,C0172,0.8201842234579445
C0019,C0119,0.7801177066158864
C0019,C0081,0.7785590115731602
C0020,C0140,0.9379414899753293
C0020,C0005,0.9217967999978427
C0020,C0131,0.9146481556812064
